nm	Absorbancia
706.92	-0.010
707.24	-0.002
707.57	-0.006
707.89	0.003
708.21	-0.005
708.54	0.005
708.86	0.001
709.18	0.002
709.51	-0.005
709.83	0.009
710.15	-0.001
710.48	-0.002
710.80	-0.001
711.12	-0.013
711.45	0.002
711.77	-0.007
712.09	0.000
712.42	-0.011
712.74	-0.007
713.06	-0.003
713.38	-0.006
713.71	-0.001
714.03	0.003
714.35	-0.005
714.67	-0.008
715.00	-0.002
715.32	-0.015
715.64	-0.004
715.96	-0.008
716.29	-0.009
716.61	-0.000
716.93	0.001
717.25	0.003
717.57	-0.016
717.90	-0.005
718.22	0.003
718.54	-0.006
718.86	0.000
719.18	0.001
719.51	-0.001
719.83	-0.006
720.15	-0.005
720.47	-0.005
720.79	0.004
721.11	0.006
721.43	-0.002
721.76	-0.000
722.08	-0.002
722.40	0.005
722.72	0.005
723.04	0.015
723.36	0.006
723.68	0.003
724.00	-0.004
724.32	0.000
724.65	-0.002
724.97	0.001
725.29	-0.005
725.61	0.000
725.93	-0.004
726.25	-0.001
726.57	-0.013
726.89	-0.004
727.21	-0.003
727.53	-0.002
727.85	-0.003
728.17	-0.003
728.49	-0.009
728.81	-0.003
729.13	-0.003
729.45	0.001
729.77	-0.009
730.09	-0.006
730.41	0.006
730.73	-0.010
731.05	-0.005
731.37	0.003
731.69	-0.004
732.01	0.006
732.33	0.003
732.65	-0.004
732.97	-0.009
733.29	-0.002
733.61	0.004
733.93	0.002
734.25	0.007
734.57	-0.001
734.89	-0.004
735.21	-0.009
735.53	0.002
735.84	0.002
736.16	-0.005
736.48	-0.013
736.80	-0.005
737.12	0.001
737.44	-0.010
737.76	-0.001
738.08	-0.007
738.40	-0.003
738.71	-0.009
739.03	-0.005
739.35	-0.004
739.67	-0.006
739.99	-0.003
740.31	-0.004
740.62	-0.009
740.94	-0.006
741.26	0.004
741.58	-0.015
741.90	-0.010
742.22	0.002
742.53	-0.005
742.85	-0.004
743.17	-0.015
743.49	-0.008
743.80	-0.006
744.12	0.006
744.44	-0.006
744.76	0.005
745.08	-0.005
745.39	-0.006
745.71	-0.003
746.03	0.011
746.35	-0.008
746.66	-0.008
746.98	0.001
747.30	0.005
747.61	0.010
747.93	0.002
748.25	-0.006
748.57	-0.006
748.88	-0.007
749.20	-0.003
749.52	0.009
749.83	0.000
750.15	0.005
750.47	-0.002
750.78	0.003
751.10	-0.000
751.42	-0.004
751.73	-0.015
752.05	0.004
752.36	-0.004
752.68	-0.009
753.00	-0.009
753.31	-0.005
753.63	-0.008
753.95	0.005
754.26	-0.002
754.58	0.006
754.89	0.005
755.21	-0.008
755.53	-0.012
755.84	-0.007
756.16	-0.010
756.47	-0.005
756.79	-0.005
757.10	-0.009
757.42	-0.003
757.73	-0.009
758.05	0.002
758.37	-0.007
758.68	-0.011
759.00	-0.011
759.31	-0.013
759.63	-0.009
759.94	-0.010
760.26	-0.004
760.57	-0.010
760.89	-0.009
761.20	0.002
761.52	-0.011
761.83	0.002
762.14	-0.006
762.46	0.003
762.77	-0.003
763.09	0.002
763.40	0.004
763.72	0.005
764.03	-0.006
764.35	-0.017
764.66	-0.003
764.97	0.005
765.29	-0.004
765.60	-0.006
765.92	0.002
766.23	0.007
766.54	-0.008
766.86	0.001
767.17	-0.013
767.49	0.003
